ticker,name,legalname,sic,stockexchange,shortDescription,longDescription
CAG,Conagra Brands Inc,CONAGRA BRANDS INC.,2000,NYSE,Conagra Brands  Inc   engages in the manufacture and sale of processed and packaged foods   It operates through the Consumer Foods and Commercial Foods segments   The Consumer Foods segment includes branded food sold in various retail channels primarily in North America   The Commercial Foods segment comprises commercially branded and private label food and ingredients  which are sold primarily to commercial  foodservice  restaurant  food manufacturing  and industrial customers   The company was founded by Alva Kinney and Frank Little in 1919 and is headquartered in Omaha  NE  ,Conagra Brands  Inc.  together with its subsidiaries  operates as a food company in North America. It operates through five segments: Grocery & Snacks  Refrigerated & Frozen  International  Foodservice  and Commercial. The Grocery & Snacks segment primarily provides branded  shelf-stable food products in various retail channels in the United States. The Refrigerated & Frozen segment offers branded  temperature controlled food products in various retail channels in the United States. The International segment primarily provides branded food products  in various temperature states  in retail and foodservice channels outside of the United States. The Foodservice segment offers branded and customized food products  such as meals  entrees  prepared potatoes  sauces  and various custom-manufactured culinary products packaged for sale to restaurants and other foodservice establishments in the United States. The Commercial segment offers commercially branded and private label food and ingredients primarily to commercial  restaurant  foodservice  food manufacturing  and industrial customers. The company markets its products primarily under the Healthy Choice  Hunt's  Slim Jim  Reddi-wip  Alexia  Blake's  Frontera  Bertolli  P.F. Chang's  and Marie Callender's brands. The company was formerly known as ConAgra Foods  Inc. and changed its name to Conagra Brands  Inc. in November 2016. Conagra Brands  Inc. was founded in 1919 and is headquartered in Chicago  Illinois.
GPS,Gap Inc,GAP INC,5651,NYSE,Gap  Inc   operates as a global apparel retail company   It offers apparel  accessories  and personal care products for men  women and children   The company operates through segments  Gap Global  Old Navy Global  Banana Republic Global  Athleta  and Intermix   The Gap Global segment includes apparel and accessories for men and women under the Gap brand  along with the GapKids  BabyGap  GapMaternity  GapBody and GapFit collections   The Old Navy Global segment offers clothing and accessories for adults and children   The Banana Republic Global segment provides clothing  eyewear  jewelry  shoes  handbags and fragrances   The Athleta segment offers fitness apparel for women   The Intermix segment features styles from various designers   Gap was founded by Donald G   Fisher and Doris F   Fisher in July 1969 and is headquartered in San Francisco  CA  ,The Gap  Inc. operates as an apparel retail company worldwide. It provides apparel  accessories  and personal care products for men  women  and children under the Gap  Banana Republic  Old Navy  Athleta  and Intermix brands. The company's products include denim  tees  button-downs  khakis  and other products; and fitness and lifestyle products for use in yoga  training  and sports to women and girls. It also operates Weddington Way  a social shopping platform for wedding parties that provides an online boutique with bridesmaid dresses and various wedding party gifts. The company offers its products through company-operated stores  franchise stores  Websites  third-party arrangements  and catalogs. It has franchise agreements with unaffiliated franchisees to operate Gap  Banana Republic  and Old Navy stores in Asia  Australia  Europe  Latin America  the Middle East  and Africa. As of March 14  2017  the company operated 3 200 company-operated stores; and 450 franchise stores  as well as e-commerce sites. The Gap  Inc. was founded in 1969 and is headquartered in San Francisco  California.
BHI,Baker Hughes A GE Co,BAKER HUGHES a GE Co LLC,3533,NYSE,Baker Hughes  Inc   supplies oilfield services  products  technology  and systems to the worldwide oil and natural gas industry   It provide products and services for other businesses including downstream chemicals  and process and pipeline services   The company was founded in April 1987 and is headquartered in Houston  TX  ,Baker Hughes Incorporated supplies oilfield services  products  technology  and systems to the oil and natural gas industry worldwide. The company offers drilling and evaluation products and services  which include drill bits for performance drilling  hole enlargement  and coring; open hole (imaging  fluids sampling  etc.) and cased hole (production logging  wellbore integrity  pipe recovery  etc.) well logging services; and emulsion and water-based drilling fluids systems  reservoir drill-in fluids  and completion fluids  as well as fluids environmental services. Its drilling and evaluation products and services also comprise directional drilling systems and services  such as rotary steerables  drilling motors  measurement-while-drilling systems  etc.; logging-while-drilling systems and services  including resistivity  imaging  pressure testing and sampling  etc.; surface logging and coring systems and services; and geoscience services. In addition  the company offers completion and production products and services consisting of completion systems used to control the flow of hydrocarbons within a wellbore; wellbore intervention products and services to enhance the performance of existing wellbores; intelligent production system products and services to monitor  analyze  and control production to optimize returns and ultimate recovery; artificial lifts  such as in-well electric submersible pump systems  progressing cavity pump systems  and gas lift systems  as well as horizontal surface pumping systems that move fluids on the surface for applications  such as injection  disposal  transfer  and pipeline boosting; chemical technologies and services; and onshore and offshore cementing  stimulation  and coil tubing services. Further  it offers industrial services  including downstream chemicals  and process and pipeline services. The company was founded in 1972 and is headquartered in Houston  Texas. Baker Hughes Incorporated is a subsidiary of General Electric Company.
BK,Bank of New York Mellon Corp,Bank of New York Mellon Corp,6022,NYSE,The Bank of New York Mellon Corp   operates as a holding company  which engages in the provision of global financial services   It provides financial services for institutions  corporations and high-net-worth individuals  offering investment management and investment services   It operates through the following segments  Investment Management  Investment Services  and Others   The Investment Services segment includes alternative investment services  asset servicing  broker-dealer services  corporate trust  depository receipts  pershing clearing services  and treasury services   The Investment Management segment  offers investment strategies  investment vehicles  and wealth management   The Others segment includes credit-related services  leasing portfolio  corporate treasury activities  equity interest in ConvergEx Group  business exits  and corporate overhead   The company was founded by Alexander Hamilton on July 1  2007 and is headquartered in New York  NY  ,The Bank of New York Mellon Corporation provides financial products and services to institutions  corporations  and high net worth individuals in the United States and internationally. It operates through two segments  Investment Management and Investment Services. The company offers investment management; trust and custody; foreign exchange; fund administration; global collateral services; securities lending; depositary receipts; corporate trust; global payment/cash management; banking services; and clearing services. It also provides mutual funds  separate accounts  wealth management  and private banking services; and broker-dealer services and registered investment advisory services. In addition  the company is involved in credit-related activities  business exits  leasing operations  corporate treasury activities  and derivatives and other trading  as well as corporate and bank-owned life insurance and renewable energy investments activities. Further  it provides global markets services. The Bank of New York Mellon Corporation was founded in 1784 and is headquartered in New York  New York.
DLTR,Dollar Tree Inc,DOLLAR TREE INC,5331,NasdaqGS,Dollar Tree  Inc   owns and operates discount variety stores offering merchandise at the fixed prices   It operates stores under the names Dollar Tree  Deal  Dollar Tree Deal  Dollar Giant and Dollar Bills   The company offers selection of everyday basic products and its supplement these basic  everyday items with seasonal  closeout and promotional merchandise   The merchandise mix consists of three types  Consumable  Variety categories and Seasonal merchandise   The Consumable merchandise includes candy and food  health and beauty care  and household consumables such as paper  plastics and household chemicals and in select stores  frozen and refrigerated food   The Variety categories merchandise includes toys  durable house wares  gifts  party goods  greeting cards  soft lines and other items   The Seasonal goods include Easter  Halloween and Christmas merchandise   Dollar Tree was founded by J   Douglas Perry and Macon F   Brock  Jr   in 1986 and is headquartered in Chesapeake  VA  ,Dollar Tree  Inc. operates variety retail stores in the United States and Canada. It operates in two segments  Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $1.00. It provides consumable merchandise  including candy and food  and health and beauty care products  as well as everyday consumables  such as household paper and chemicals  and frozen and refrigerated food; various merchandise comprising toys  durable housewares  gifts  stationery  party goods  greeting cards  softlines  and other items; and seasonal goods  which include Valentine's Day  Easter  Halloween  and Christmas merchandise. This segment operates under the under the Dollar Tree and Dollar Tree Canada brands  as well as 11 distribution centers in the United States and 2 in Canada  and a store support center in Chesapeake  Virginia. The Family Dollar segment operates general merchandise discount retail stores that offer consumable merchandise  which comprise food  tobacco  health and beauty aids  household chemicals  paper products  hardware and automotive supplies  diapers  batteries  and pet food and supplies; and home products  including housewares  home decor  and giftware  as well as domestics  such as blankets  sheets  and towels. It also provides apparel and accessories merchandise comprising clothing  fashion accessories  and shoes; and seasonal and electronics merchandise  which include Valentine's Day  Easter  Halloween  and Christmas merchandise  as well as personal electronics that comprise pre-paid cellular phones and services  stationery and school supplies  and toys. This segment operates under the Family Dollar brand  11 distribution centers  and a store support center in Matthews  North Carolina. As of January 28  2017  the company operated 14 334 stores in 48 states and the District of Columbia  and 5 Canadian provinces. Dollar Tree  Inc. was founded in 1986 and is based in Chesapeake  Virginia.
WFM,Whole Foods Market Inc,WHOLE FOODS MARKET INC,5411,NasdaqGS,Whole Foods Market  Inc   engages in the retailing business of natural and organic foods   It operates a chain of natural and organic foods supermarkets in the United States  Canada  and the United Kingdom   The company's products include beverages  body care  snacks  frozen  pantry staples  supplements and gift baskets and also eco-scaling cleaning products   Whole Foods Market was founded by John Mackey  Renee Lawson Hardy  Craig Weller and Mark Skiles in 1978 and is headquartered in Austin  TX  ,Whole Foods Market  Inc. operates natural and organic foods supermarkets. Its stores offers produce  packaged goods  bulk  frozen  dairy  meat  bakery  prepared foods  coffee  tea  beer  wine  cheese  nutritional supplements  vitamins  body care  pet foods  and household goods. As of March 8  2017  the company operated approximately 460 stores in the United States  Canada  and the United Kingdom. Whole Foods Market  Inc. was founded in 1978 and is headquartered in Austin  Texas.
PPG,PPG Industries Inc,PPG INDUSTRIES INC,2851,NYSE,PPG Industries  Inc   engages in the manufacture and distribution of coatings  specialty materials  and glass products   It operates its business through the following segments  Performance Coatings  Industrial Coatings  and Glass   The Performance Coatings segment comprises of the refinish  aerospace  protective and marine  and architectural coatings businesses   The Industrial Coatings segment includes automotive OEM  industrial coatings  packaging coatings  and specialty coatings and materials businesses   The Glass segment deals with the flat glass and fiber glass businesses   The company was founded was founded by John B   Ford and John A   Pitcairn in 1883 and is headquartered in Pittsburgh  PA  ,PPG Industries  Inc. manufactures and distributes coatings  specialty materials  and glass products. It operates in three segments: Performance Coatings  Industrial Coatings  and Glass. The Performance Coatings segment provides coatings products for automotive and commercial transport/fleet repair and refurbishing; light industrial and specialty coatings for signs; coatings  sealants  and transparencies for commercial  military  regional jet and general aviation aircraft  and transparent armor for specialty applications; protective and marine coatings and finishes; architectural coatings; and purchased sundries to painting contractors and consumers  as well as chemical management services. As of December 31  2016  this segment operated company-owned stores approximately 920 stores in North America  40 in Australia  and 75 in Central America. In addition  it sells coatings and related products through approximately 4 200 stores that are independently owned and operated by 700 concessionaires primarily in Mexico. The Industrial Coatings segment provides adhesives and sealants for the automotive industry; metal pretreatments and related chemicals for industrial and automotive applications; packaging coatings for the protection  performance  and decoration of metal cans  closures  plastic tubes  industrial packaging  and promotional and specialty packaging; precipitated silicas for tire  battery separator  and other markets; substrates used in radio frequency identification tags and labels  e-passports  drivers' licenses  and identification cards; organic light emitting diode materials for use in displays and lighting; optical lens materials and photochromic dyes for optical lenses and color-change products. The Glass segment produces fiber glass for use in commercial and residential construction  wind energy  energy infrastructure  transportation  and electronics industries. The company was founded in 1883 and is headquartered in Pittsburgh  Pennsylvania.
GPC,Genuine Parts Co,GENUINE PARTS CO,5013,NYSE,Genuine Parts Co   engages in the distribution of automotive replacement parts  industrial replacement parts  office products and electrical/electronic materials   It also distributes industrial replacement parts in the U  S    Canada and Mexico through its Motion Industries subsidiary   It operates through the following segments  Automotive  Industrial  Office Products  and Electrical/Electronic Materials   The Automotive segment distributes replacement parts  other than body parts for substantially all makes and models of automobiles  trucks  and other vehicles   The Industrial segment distributes a wide variety of industrial bearings  mechanical and fluid power transmission equipment  including hydraulic and pneumatic products  material handling components  and related parts and supplies   The Office products segment distributes a wide variety of office products  computer supplies  office furniture  and business electronics   The Electrical/Electronic Materials segment distributes a wide variety of electrical/electronic materials  including insulating and conductive materials for use in electronic and electrical apparatus   The company was founded by Carlyle Fraser on May 7  1928 and is headquartered in Atlanta  GA  ,Genuine Parts Company distributes automotive replacement parts  industrial replacement parts  office products  and electrical/electronic materials in the United States  Canada  Australia  New Zealand  Mexico  and Puerto Rico. It distributes automotive replacement parts for imported vehicles  trucks  SUVs  buses  motorcycles  recreational vehicles  farm vehicles  small engines  farm equipment  and heavy duty equipment; and accessory items used in the automotive aftermarket  including repair shops  service stations  fleet operators  automobile and truck dealers  leasing companies  bus and truck lines  mass merchandisers  farms  industrial concerns  and individuals through 57 NAPA automotive parts distribution centers and 1 100 NAPA AUTO PARTS stores. The company also distributes industrial replacement parts and related supplies  such as bearings  mechanical and electrical power transmission products  industrial automation products  hoses  hydraulic and pneumatic components  industrial supplies  and material handling products primarily for food and beverage  forest products  primary metal  pulp and paper  mining  automotive  oil and gas  petrochemical  and pharmaceutical industries through 483 branches  13 distribution centers  and 43 service centers. In addition  it distributes office furniture  technology products  general office and school supplies  cleaning  janitorial and breakroom supplies  safety and security items  healthcare products  and disposable food service products to resellers through 56 distribution centers. Further  the company distributes wires and cables  connectivity solutions  insulating and conductive materials  assembly tools  test equipment  custom fabricated parts  and specialty coated materials to original equipment manufacturers  motor repair shops  specialty wire and cable users  and various industrial assembly markets. Genuine Parts Company was founded in 1928 and is based in Atlanta  Georgia.
IEP,Icahn Enterprises LP,ICAHN ENTERPRISES L.P.,3714,NasdaqGS,Icahn Enterprises LP operates as holding company   It operates through following business segments  Investment  Automotive  Energy  Gaming  Railcar  Food Packaging  Metals  Real Estate and Home Fashion   The Investment segment is comprised of various private investment funds  including Icahn Partners LP  Icahn Partners Master Fund LP  Icahn Partners Master Fund II LP and Icahn Partners Master Fund III LP   The Automotive segment holds ownership in Federal-Mogul Corp    which is a supplier to the automotive  aerospace  energy  heavy duty truck  industrial  marine  power generation and railway industries   The Energy segment holds ownership in CVR Energy  Inc    which owns majority interests in two separate operating subsidiaries  CVR Refining  LP and CVR Partners  LP   The Gaming segment holds ownership in Tropicana Entertainment Inc    which owns and operates a diversified  multi-jurisdictional collection of casino gaming properties   The Railcar segment holds ownership in American Railcar Industries Inc    which is a manufacturer of hopper and tank railcars   It provides fleet management  maintenance  engineering and field services   The American Railcar Industries services include maintenance planning  project management  tracking and tracing  regulatory compliance  mileage audit  rolling stock taxes and online service access   The Food Packaging segment holds ownership in Viskase Cos    Inc    which is engaged in production and sale of cellulosic  fibrous and plastic casings for the processed meat and poultry industry   The Metals segment operates through company indirect wholly owned subsidiary  PSC Metals  Inc    which is a one of the independent metal recycling companies in the U  S   and collects industrial and obsolete scrap metal  processes it into reusable forms and supplies the recycled metals to its customers including electric-arc furnace mills  integrated steel mills  foundries  secondary smelters and metals brokers   The Real Estate segment consists of rental real estate  property development and resort activities   The Home Fashion segment operates through company indirect wholly owned subsidiary WestPoint Home LLC  which a manufacturer and distributor of home fashion consumer products   The company was founded on February 17  1987 and is headquartered in New York  NY  ,Icahn Enterprises L.P.  through its subsidiaries  operates in investment  automotive  energy  metals  railcar  gaming  metals  mining  food packaging  real estate  and home fashion businesses in the United States  Germany  and Internationally. Its Investment segment operates various private investment funds. The company's Automotive segment supplies a range of components  accessories  and systems to the automotive  small engine  heavy-duty  marine  railroad  agricultural  off-road  aerospace and energy  industrial  and transport markets; and distributes automotive parts  as well as operates automotive retail  and service and tire centers. Its Energy segment refines and markets transportation fuels; and manufactures nitrogen fertilizers. The company's Metals segment collects  processes  and sells ferrous and non-ferrous metals  as well as processes and distributes steel pipe and plate products. Its Railcar segment manufactures and sells railcars; and provides railcar repair services  as well as leases railcars. The company's Gaming segment owns and operates casino gaming properties  including 8 casino facilities with 7 900 slot machines  300 table games  and 5 500 hotel rooms. Its Mining segment produces and sells iron ore products to the steel industry. The company's Food Packaging segment produces and sells cellulosic  fibrous  and plastic casings for the processed meat and poultry industry. Its Real Estate segment is involved in the rental of commercial real estate properties; construction and sale of single-family and multi-family homes  lots in subdivisions and planned communities  and raw land for residential development; and operation of golf and club. The company's Home Fashion segment manufactures and distributes home fashion consumer products  such as bed  bath  basic bedding  and other textile products. Icahn Enterprises L.P. was founded in 1987 and is headquartered in New York  New York.
PFGC,Performance Food Group Co,PERFORMANCE FOOD GROUP CO,5141,NYSE,Performance Food Group Co   engages in the market and distribution of food products   It operates its business through the following segments  Performance Foodservice; PFG Customized; Vistar; and Corporate and All Other   Performance Foodservice segment offers beef  pork  poultry  and seafood  frozen foods  refrigerated products; dry groceries to disposables; cleaning and kitchen supplies; and related products used by its customers   The PFG Customized provides fresh product distribution  logistics management  procurement management  and information system interfaces   The Vistar distributes  candy  snacks  and beverages to vending and office coffee service distributors  big box retailers  and theaters   The Corporate and All Other segment comprises of unallocated corporate overhead and certain operations; and internal logistics unit   The company was founded in 1987 and is headquartered in Richmond  VA  ,Third-largest US foodservice distributor LBO'd by Blackstone.
OMC,Omnicom Group Inc,OMNICOM GROUP INC.,7311,NYSE,Omnicom Group  Inc   is a holding company  which engages in the management and provision of advertising agencies   It operates through the following geographical segments  Americas; Europe  Middle East  and Africa; and Asia Pacific   It offers marketing and corporate communications services   The company was founded in 1986 and is headquartered in New York  NY  ,Omnicom Group Inc.  together with its subsidiaries  provides advertising  marketing  and corporate communications services. The company offers a range of services in the areas of advertising  customer relationship management  or CRM  public relations  and specialty communications. Its services comprise advertising  brand consultancy  content marketing  corporate social responsibility consulting  crisis communication  custom publishing  data analytics  database management  environmental design  financial/corporate business-to-business advertising  graphic arts/digital imaging  healthcare communications  and instore design services. The company's services also include direct  entertainment  experiential  and field  interactive  mobile  multi-cultural  non-profit  promotional  retail  search engine  social media  and sports and event marketing services; and investor relations  marketing research  media planning and buying  organizational communications  package design  product placement  public affairs  public relations  and reputation consulting services. It operates in North America  Latin America  Europe  the Middle East  Africa  Australia  China  India  Japan  Korea  New Zealand  Singapore  and other Asian countries. Omnicom Group Inc. was founded in 1944 and is based in New York  New York.
DISH,DISH Network Corp,DISH Network CORP,4841,NasdaqGS,DISH Network Corp   is a holding company  which engages in the provision of pay-tv services   It operates through Pay-TV and Broadband  and Wireless segments   The Pay-TV and Broadband segment is offered under the DISH brand and Sling brand   The Wireless segment refers to the wireless spectrum licenses and related assets   The company was founded by Charles W   Ergen  Cantey W   Ergen and James DeFranco in 1980 and is headquartered in Englewood  CO  ,DISH Network Corporation  together with its subsidiaries  provides pay-TV services in the United States. It operates through two segments  DISH and Wireless. The company provides video services under the DISH brand. It also offers programming packages that include programming through national broadcast networks  local broadcast networks  and national and regional cable networks  as well as regional and specialty sports channels  premium movie channels  and Latino and international programming. In addition  the company provides access to movies and TV shows via TV or Internet-connected tablets  smartphones  and computers; and dishanywhere.com and mobile applications for smartphones and tablets to view authorized content  search program listings  and remotely control certain features. Further  it offers Sling TV services  including Sling Orange  Sling Blue  Sling International  and Sling Latino services that require an Internet connection and are available on streaming-capable devices  such as TVs  tablets  computers  game consoles  and smart phones primarily to consumers who do not subscribe to traditional satellite and cable pay-TV services. Additionally  the company satellite broadband and wireline broadband services under the dishNET brand  as well as wireline voice services; and has wireless spectrum licenses and related assets. As of December 31  2016  it had 13.671 million Pay-TV subscribers. The company offers receiver systems and programming through direct sales channels  small satellite retailers  direct marketing groups  local and regional consumer electronics stores  nationwide retailers  and telecommunications companies. DISH Network Corporation was founded in 1980 and is headquartered in Englewood  Colorado.
FE,FirstEnergy Corp,FIRSTENERGY CORP,4911,NYSE,FirstEnergy Corp   operates as a diversified energy company   It engages in the generation  transmission  and distribution of electricity  as well as energy management and other energy-related services through its subsidiaries   It operates through the following segments  Regulated Distribution  Regulated Transmission  and Competitive Energy Services (CES)   The Regulated Distribution segment distributes electricity through FirstEnergy's utility operating companies  serving various customers within Ohio  Pennsylvania  West Virginia  Maryland  New Jersey and New York   The Regulated Transmission segment transmits electricity through transmission facilities owned and operated by FirstEnergy's utilities and the regulatory assets   The CES segment supplies electricity to end-use customers through retail and wholesale arrangements  including competitive retail sales to customers primarily in Ohio  Pennsylvania  Illinois  Michigan  New Jersey and Maryland  and the provision of partial POLR and default service for some utilities in Ohio  Pennsylvania and Maryland  including the utilities   The company was founded in 1996 and is headquartered in Akron  OH  ,FirstEnergy Corp.  through its subsidiaries  generates  transmits  and distributes electricity in the United States. The company operates through Regulated Distribution  Regulated Transmission  and Competitive Energy Services segments. It owns and operates coal-fired  nuclear  hydroelectric  oil and natural gas  wind  and solar power generating facilities. The company also provides energy-related products and services to retail and wholesale customers. It operates 24 551 circuit miles of overhead and underground transmission lines; and electric distribution systems  including 272 763 miles of overhead pole line and underground conduit carrying primary  secondary  and street lighting circuits  as well as owns substations with a total installed transformer capacity of approximately 160 259 826 kilovolt-amperes. The company serves approximately six million customers within 65 000 square miles in Ohio  Pennsylvania  West Virginia  Maryland  New Jersey  and New York. FirstEnergy Corp. was founded in 1996 and is headquartered in Akron  Ohio.
MON,Monsanto Co,MONSANTO CO /NEW/,2870,NYSE,Monsanto Co   engages in the provision of agricultural products to farmers   The company operates its business through the following business segments  Seeds & Genomics and Agricultural Productivity   The Seeds & Genomics segment produces seed brands  including DEKALB  Asgrow  Deltapine  Seminis and De Ruiter and develops biotechnology traits that assist farmers in controlling insects and weeds   The Agricultural Productivity segment manufactures Roundup and Harness brand herbicides and other herbicides   It also provides other seed companies with genetic material and biotechnology traits for their seed brands   Monsanto was founded by John F   Queeny in 1901 and is headquartered in St   Louis  MO  ,Monsanto Company  together with its subsidiaries  provides agricultural products for farmers worldwide. It operates in two segments  Seeds and Genomics  and Agricultural Productivity. The Seeds and Genomics segment produces row crop seeds  including corn  soybean  cotton  and canola seeds under the DEKALB  Channel  Asgrow  and Deltapine brands; and vegetable seeds  such as tomato  pepper  melon  cucumber  squash  beans  broccoli  onions  lettuce  and others under the Seminis and De Ruiter brands. It also develops biotechnology traits that assist farmers in controlling insects and weeds in corn  soybean  cotton  and canola crops under the SmartStax  YieldGard  YieldGard VT Triple  VT Triple PRO  and VT Double PRO brands; Intacta RR2 PRO brand; Bollgard and Bollgard II brands; Roundup Ready  Roundup Ready 2 Yield  and Genuity brands; and Roundup Ready 2 Xtend and Bollgard II XtendFlex brands. This segment also licenses a range of germplasm and trait technologies to large and small seed companies. The Agricultural Productivity segment manufactures and sells herbicides for agricultural  industrial  ornamental  turf  and residential lawn and garden applications for weed control  as well as for control of preemergent annual grass and small seeded broadleaf weeds in corn and other crops under the Roundup and Harness brands. The company markets its products through distributors  independent retailers and dealers  agricultural cooperatives  plant raisers  and agents  as well as directly to farmers. Monsanto Company has a collaborative agreement with Novozymes to discover  develop  and produce microbial solutions. The company was formerly known as Monsanto Ag Company and changed its name to Monsanto Company in March 2000. Monsanto Company was founded in 2000 and is headquartered in St. Louis  Missouri.
AES,AES Corp,AES CORP,4991,NYSE,The AES Corp   operates as a power generation and utility company   It operates through the Generation and Utilities segments   The Generation segment refers to the utilization of fuels and technologies to generate electricity such as coals  gas  hydro  wind  solar and biomass   The Utilities segment comprises the transmission  distribution  and in certain circumstances  generate power   It also operates through the following business units  United States; Chile  Colombia  and Argentina; Brazil; Mexico  Central America and Caribbean; Europe  and Asia   The company was founded by Dennis W   Bakke and Roger W   Sant in 1981 and is headquartered in Arlington  VA  ,The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers  such as utilities  industrial users  and other intermediaries. The company also owns and/or operates utilities to generate or purchase  distribute  transmit  and sell electricity to end-user customers in the residential  commercial  industrial  and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels to generate electricity  including hydro  coal/ petroleum coke  oil  gas/diesel  biomass  solar  wind  energy storage  and landfill gas. The company owns and/or operates a generation portfolio of approximately 30 379 megawatts. It has operations in the United States  Chile  Colombia  Argentina  Brazil  Mexico  Central America  the Caribbean  Europe  and Asia. The company was formerly known as Applied Energy Services  Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was founded in 1981 and is headquartered in Arlington  Virginia.
KMX,Carmax Inc,CARMAX INC,5500,NYSE,CarMax  Inc   is as a holding company  which operates as a retailer of used vehicles and wholesale vehicle auction operator   The company operates through the following segments  CarMax Sales Operations and CarMax Auto Finance   The CarMax Sales Operations segment consists of all aspects of the auto merchandising and service operations  excluding financing provided by CarMax Auto Finance   The CarMax Auto Finance segment provides vehicle financing through CarMax superstores   It also offers financing solely to customers purchasing vehicles at CarMax  and offers qualifying customers an array of competitive rates and terms  allowing them to choose the one that best fits their needs   The company was founded by Richard L   Sharp and William Austin Ligon in September 1993 and is headquartered in Richmond  VA  ,CarMax Inc.  through its subsidiaries  operates as a retailer of used vehicles in the United States. The company operates in two segments  CarMax Sales Operations and CarMax Auto Finance. It offers customers a range of makes and models of used vehicles  including domestic and imported vehicles; sells vehicles that do not meet its retail standards to licensed dealers through on-site wholesale auctions; and provides extended protection plans to customers at the time of sale. The company also offers reconditioning and vehicle repair services; and provides financing alternatives for retail customers across a range of credit spectrum through its CarMax Auto Finance and arrangements with other financial institutions. In addition  it sells new vehicles under franchise agreements. As of April 6  2017  the company operated 173 used car stores in 39 states. The company was founded in 1993 and is based in Richmond  Virginia.
NOV,National Oilwell Varco Inc,NATIONAL OILWELL VARCO INC,3533,NYSE,National Oilwell Varco  Inc   provides equipment and components that are used in oil and gas drilling and production operations  oilfield services  and supply chain integration services to the upstream oil and gas industry   The company operates through the following segments  Rig Systems  Rig Aftermarket  Wellbore Technologies  and Completion and Production Solutions   The Rig Systems segment designs  manufactures  and sells land rigs  offshore drilling equipment packages  including installation and commissioning services  and drilling rig components that mechanize and automate the drilling process and rig functionality   The Rig Aftermarket segment provides spare parts  repair  and rentals as well as technical support  field service  and first well support  field engineering  and customer training   The Wellbore Technologies segment designs  manufactures  rents  and sells a variety of equipment and technologies used to perform drilling operations  and offers services that optimize their performance   The Completion and Production Solutions segment integrates technologies for well completions and oil and gas production   The company was founded in 1841 and is headquartered in Houston  TX  ,National Oilwell Varco  Inc. designs  manufactures  and sells equipment and components used in oil and gas drilling  completion  and production operations; and provides oilfield services to the upstream oil and gas industry worldwide. It operates through four segments: Rig Systems  Rig Aftermarket  Wellbore Technologies  and Completion & Production Solutions. The Rig Systems segment offers land rigs; offshore drilling equipment packages; and drilling rig components. This segment provides substructures  derricks  and masts; cranes; pipe lifting  racking  rotating  and assembly systems; fluid transfer technologies  such as mud pumps; pressure control equipment; power transmission systems; and rig instrumentation and control systems. The Rig Aftermarket segment offers spare parts; and repair and rental services  as well as technical support  field and first well support  field engineering  and customer training services. The Wellbore Technologies segment designs  manufactures  rents  and sells various equipment and technologies. This segment also provides solids control and waste management equipment and services  drilling fluids  power generation equipment  drill and wired pipes  instruments  measuring and monitoring equipment  downhole and fishing tools  hole openers  and drill bits  as well as drilling optimization and automation  tubular inspection  repair and coating  rope access inspection  and instrumentation services. The Completion and Production Solutions segment offers pressure pumping trucks  blenders  sanders  hydration units  injection units  flowlines  manifolds  and wellheads; well intervention tools; onshore production  including composite pipes  surface transfer and progressive cavity pumps  reciprocating pumps  pressure vessels  and artificial lift systems; and offshore production comprising floating production systems  and subsea production technologies. The company was founded in 1862 and is based in Houston  Texas.
